数据条目, 资源分类, 关键字, 国家分类, 部门分类, 时间, 提供单位, 提供地址
母婴保健技术服务执业许可信息, 卫生健康, 母婴保健技术服务执业许可, 医药卫生管理, 机构职能, 2015-11-30, 上海市卫生和计划生育委员会, 上海市浦东新区世博村路300号
母婴保健机构服务人员资格许可信息, 卫生健康, 母婴保健机构服务人员资格许可信息, 医药卫生管理, 机构职能, 2015-11-30, 上海市卫生和计划生育委员会, 上海市浦东新区世博村路300号
港澳医务人员执业许可信息, 卫生健康, 医务人员港澳执业许可, 医药卫生管理, 机构职能, 2015-11-30, 上海市卫生和计划生育委员会, 上海市浦东新区世博村路300号
放射诊疗许可信息, 卫生健康, 放射诊疗许可, 医药卫生管理, 机构职能, 2015-11-30, 上海市卫生和计划生育委员会, 上海市浦东新区世博村路300号
上海采供血机构, 卫生健康, 采供血, 医药卫生管理, 机构职能, 2014-11-27, 上海市卫生和计划生育委员会, 世博村路300号
上海市社区智慧微菜场名单信息, 民生服务, 智慧微菜场, 国内贸易, 业务类, 2015-11-30, 上海市商务委员会, 世博村路300号
本市各类会展信息, 经济建设, 会展, 商贸综合类, 业务类, 2015-11-30, 上海市商务委员会, 世博村路300号
应急避难场所信息, 公共安全, 应急避难场所, 综合政务类, 业务类, 2015-11-25, 上海市民防办公室, 复兴中路593号
上海市第三次经济普查主要数据公报（第一号）, 经济建设, 上海市第三次经济普查主要数据公报（第一号）, 统计, 机构职能, 2015-07-17, 上海市统计局, 上海市威海路48号
上海市第三次经济普查主要数据公报（第三号）, 经济建设, 上海市第三次经济普查主要数据公报（第三号）, 统计, 机构职能, 2015-07-17, 上海市统计局, 上海市威海路48号
人防工程防护设备定点企业信息, 公共安全, 人防工程防护设备企业, 综合政务类, 业务类, 2015-11-24, 上海市民防办公室, 复兴中路593号
区县统计局制订的专项（一次性）调查项目信息, 经济建设, 区县统计局制订的专项（一次性）调查项目信息, 统计, 2015-07-17, 上海市统计局, 上海市威海路48号
上海市第三次经济普查主要数据公报（第二号）, 经济建设, 上海市第三次经济普查主要数据公报（第二号）, 统计, 2015-07-17, 上海市统计局, 上海市威海路48号
市级政府部门统计调查项目信息, 经济建设, 市级政府部门统计调查项目信息, 统计, 2015-07-17, 上海市统计局, 上海市威海路48号
区县统计局批准的区县级政府部门统计调查项目, 经济建设, 区县统计局批准的区县级政府部门统计调查项目, 统计, 2015-07-17, 上海市统计局, 上海市威海路48号
上海市技术先进型服务企业名单, 经济建设, 科技技术先行型企业名单, 科技管理, 业务类, 2015-10-27, 上海市科学技术委员会, 人民大道200号
市场主体发展统计数据, 经济建设, 工商，市场主体，统计, 工商, 业务类, 2015-11-16, 上海市工商行政管理局, 上海市肇嘉浜路301号
总集成总承包领域专项资金分配结果, 经济建设, 2014、总集成总承包、专项资金、分配, 工业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
燃煤（重油）锅炉清洁能源替代领域专项资金分配结果, 经济建设, 2014、燃煤、锅炉、清洁能源替代、专项资金、分配, 工业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
燃煤（重油）锅炉清洁能源替代受理点, 机构团体, 受理点名称、地址、服务时间、联系电话, 工业, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
中小企业发展专项资金分配结果, 经济建设, 2014、中小企业、专项资金、分配结果, 工业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
重点技改领域专项资金分配结果, 经济建设, 2014、重点技改、专项资金、分配, 工业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
清洁生产领域专项资金分配结果, 经济建设, 2014、清洁生产、专项资金、分配结果, 工业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
软件和集成电路产业发展领域专项资金分配结果, 经济建设, 2014、软件和集成电路产业、专项资金, 工业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
企业自主创新领域专项资金分配结果, 经济建设, 2014、企业、自主创新、专项资金、分配, 工业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
信息化发展领域专项资金分配结果, 经济建设, 2014、信息化发展、专项资金、分配, 信息产业综合类, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
社会诚信体系建设专项资金分配结果, 经济建设, 2014、社会诚信体系建设、专项资金、结果, 综合类, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
自主品牌建设领域专项资金分配, 经济建设, 2014、自主品牌建设、领域、专项资金、分配, 工业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
知识产权优势企业领域专项资金分配结果, 经济建设, 知识产权、优势企业、专项资金、分配, 企业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
两化融合研究中心和重点实验室, 经济建设, 两化融合、研究中心、重点实验室, 信息产业综合类, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
产学研合作示范基地, 经济建设, 产学研、合作、示范、基地, 工业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
上海市中小企业服务机构名录, 经济建设, 上海市、中小企业、服务机构, 工业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
上海市中小企业公共服务示范平台名录, 经济建设, 上海市中小企业公共服务示范平台名录, 工业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
知识产权优势企业, 经济建设, 知识产权、优势企业, 企业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
食盐定点生产企业, 经济建设, 食盐定点、生产、企业, 综合类, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
市级新型工业化产业示范基地, 经济建设, 市级、新型工业化、产业示范基地, 工业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
